id,product_id,property_type_id,value,,
541,89,11,Hãng phim truyện Việt Nam,,
542,89,12,08-1994,,
543,89,13,Tiếng Việt,,
544,89,14,Tiếng Việt,,
545,89,15,Tình cảm,,
546,90,8,Blu-ray,,
547,90,9,Hải Ninh,,
548,90,10,80,,
549,90,11,Hãng phim truyện Việt Nam,,
550,90,12,03-2003,,
551,90,13,Tiếng Việt,,
552,90,14,Tiếng Việt,,
553,90,15,Tình cảm,,
